Filename,Prediction
158_0.jpg,2C
158_1.jpg,2C
158_10.jpg,2C
158_11.jpg,2C
158_12.jpg,2C
158_13.jpg,2C
158_14.jpg,2C
158_15.jpg,2C
158_16.jpg,2C
158_17.jpg,2C
158_18.jpg,2C
158_19.jpg,2C
158_2.jpg,2C
158_20.jpg,2C
158_21.jpg,2C
158_22.jpg,2C
158_23.jpg,2C
158_24.jpg,2C
158_25.jpg,2C
158_26.jpg,2C
158_27.jpg,2C
158_28.jpg,2C
158_29.jpg,2C
158_3.jpg,2C
158_30.jpg,2C
158_31.jpg,2C
158_32.jpg,2C
158_33.jpg,2C
158_34.jpg,2C
158_35.jpg,2C
158_4.jpg,2C
158_5.jpg,2C
158_6.jpg,2C
158_7.jpg,2C
158_8.jpg,2C
158_9.jpg,2C
165_0.jpg,2C
165_1.jpg,2C
165_10.jpg,2C
165_11.jpg,2C
165_12.jpg,2C
165_13.jpg,2C
165_14.jpg,2C
165_15.jpg,2C
165_16.jpg,2C
165_17.jpg,2C
165_18.jpg,2C
165_19.jpg,2C
165_2.jpg,2C
165_20.jpg,2C
165_21.jpg,2C
165_22.jpg,2C
165_23.jpg,2C
165_24.jpg,2C
165_25.jpg,2C
165_26.jpg,2C
165_27.jpg,2C
165_28.jpg,2C
165_29.jpg,2C
165_3.jpg,2C
165_30.jpg,2C
165_4.jpg,2C
165_5.jpg,2C
165_6.jpg,2C
165_7.jpg,2C
165_8.jpg,2C
165_9.jpg,2C
168_0.jpg,2C
168_1.jpg,2C
168_10.jpg,2C
168_11.jpg,2C
168_12.jpg,2C
168_13.jpg,2C
168_14.jpg,2C
168_15.jpg,2C
168_16.jpg,2C
168_17.jpg,2C
168_18.jpg,2C
168_19.jpg,2C
168_2.jpg,2C
168_3.jpg,2C
168_4.jpg,2C
168_5.jpg,2C
168_6.jpg,2C
168_7.jpg,2C
168_8.jpg,2C
168_9.jpg,2C
169_0.jpg,3C
169_1.jpg,3C
169_10.jpg,2C
169_11.jpg,2C
169_12.jpg,2C
169_13.jpg,3C
169_14.jpg,3C
169_15.jpg,2C
169_16.jpg,2C
169_17.jpg,2C
169_18.jpg,2C
169_19.jpg,2C
169_2.jpg,3C
169_20.jpg,3C
169_21.jpg,3C
169_22.jpg,3C
169_23.jpg,3C
169_24.jpg,3C
169_25.jpg,3C
169_26.jpg,3C
169_27.jpg,3C
169_28.jpg,3C
169_29.jpg,3C
169_3.jpg,3C
169_30.jpg,3C
